Day,Block,Surgery,Start,Duration,Finish,Specialty
Monday,0,0,-0.0,0,0.0,GASTRO
Monday,1,0,-0.0,0,0.0,CARD
Monday,1,0,99.0,0,99.0,CARD
Monday,2,0,-0.0,0,0.0,ORTH
Monday,2,0,142.0,0,142.0,ORTH
Monday,3,0,-0.0,0,0.0,GYN
Monday,3,0,78.0,0,78.0,GYN
Monday,3,0,156.0,0,156.0,GYN
Monday,4,0,-0.0,0,0.0,URO
Monday,4,0,72.0,0,72.0,URO
Monday,5,0,-0.0,0,0.0,CARD
Monday,5,0,99.0,0,99.0,CARD
Monday,6,0,-0.0,0,0.0,URO
Monday,6,0,72.0,0,72.0,URO
Monday,6,0,144.0,0,144.0,URO
Tuesday,7,0,-0.0,0,0.0,GASTRO
Tuesday,7,0,99.0,0,99.0,GASTRO
Tuesday,8,0,-0.0,0,0.0,ORTH
Tuesday,8,0,142.0,0,142.0,ORTH
Tuesday,9,0,-0.0,0,0.0,ORTH
Tuesday,9,0,142.0,0,142.0,ORTH
Tuesday,10,0,-0.0,0,0.0,GYN
Tuesday,10,0,78.0,0,78.0,GYN
Tuesday,11,0,-0.0,0,0.0,GYN
Tuesday,11,0,78.0,0,78.0,GYN
Tuesday,12,0,-0.0,0,0.0,URO
Wednesday,13,0,-0.0,0,0.0,GASTRO
Wednesday,13,0,132.0,0,132.0,GASTRO
Wednesday,13,0,264.0,0,264.0,GASTRO
Wednesday,14,0,-0.0,0,0.0,GASTRO
Wednesday,14,0,132.0,0,132.0,GASTRO
Wednesday,14,0,264.0,0,264.0,GASTRO
Wednesday,15,0,-0.0,0,0.0,CARD
Wednesday,16,0,0.0,0,0.0,MED
Wednesday,16,0,75.0,0,75.0,MED
Wednesday,16,0,150.0,0,150.0,MED
Wednesday,17,0,-0.0,0,0.0,GYN
Wednesday,17,0,78.0,0,78.0,GYN
Wednesday,18,0,-0.0,0,0.0,GYN
Wednesday,18,0,78.0,0,78.0,GYN
Wednesday,19,0,-0.0,0,0.0,URO
Wednesday,20,0,-0.0,0,0.0,ORTH
Wednesday,20,0,142.0,0,142.0,ORTH
Wednesday,20,0,284.0,0,284.0,ORTH
Thursday,21,0,-0.0,0,0.0,GASTRO
Thursday,21,0,132.0,0,132.0,GASTRO
Thursday,22,0,-0.0,0,0.0,ORTH
Thursday,23,0,-0.0,0,0.0,GYN
Thursday,23,0,78.0,0,78.0,GYN
Thursday,23,0,156.0,0,156.0,GYN
Thursday,23,0,234.0,0,234.0,GYN
Thursday,24,0,-0.0,0,0.0,GYN
Thursday,24,0,78.0,0,78.0,GYN
Thursday,24,0,156.0,0,156.0,GYN
Thursday,25,0,-0.0,0,0.0,URO
Thursday,25,0,72.0,0,72.0,URO
Friday,26,0,-0.0,0,0.0,GASTRO
Friday,26,0,147.0,0,147.0,GASTRO
Friday,27,0,-0.0,0,0.0,CARD
Friday,27,0,99.0,0,99.0,CARD
Friday,27,0,198.0,0,198.0,CARD
Friday,28,0,-0.0,0,0.0,ORTH
Friday,28,0,157.0,0,157.0,ORTH
Friday,29,0,-0.0,0,0.0,GYN
Friday,29,0,78.0,0,78.0,GYN
Friday,30,0,-0.0,0,0.0,URO
Friday,30,0,72.0,0,72.0,URO
Friday,30,0,144.0,0,144.0,URO
Friday,31,0,-0.0,0,0.0,CARD
Friday,31,0,99.0,0,99.0,CARD
