SURGERY;TYPE;DURATION
0;CARD;99
1;CARD;99
2;CARD;99
3;CARD;99
4;CARD;99
5;CARD;99
6;CARD;99
7;CARD;99
8;CARD;99
9;CARD;99
10;CARD;99
11;CARD;99
12;CARD;99
13;CARD;99
14;GASTRO;99
15;GASTRO;132
16;GASTRO;132
17;GASTRO;132
18;GASTRO;132
19;GASTRO;132
20;GASTRO;132
21;GASTRO;132
22;GASTRO;132
23;GASTRO;132
24;GASTRO;132
25;GASTRO;132
26;GASTRO;132
27;GASTRO;78
28;GASTRO;78
29;GASTRO;78
30;GASTRO;78
31;GASTRO;78
32;GYN;78
33;GYN;78
34;GYN;78
35;GYN;78
36;GYN;78
37;GYN;78
38;GYN;78
39;GYN;78
40;GYN;78
41;GYN;78
42;GYN;78
43;GYN;78
44;GYN;78
45;GYN;78
46;GYN;78
47;GYN;78
48;GYN;78
49;GYN;78
50;GYN;78
51;GYN;78
52;GYN;78
53;GYN;78
54;GYN;78
55;GYN;78
56;GYN;78
57;GYN;78
58;GYN;78
59;GYN;78
60;MED;75
61;MED;75
62;MED;75
63;MED;75
64;ORTH;142
65;ORTH;142
66;ORTH;142
67;ORTH;142
68;ORTH;142
69;ORTH;142
70;ORTH;142
71;ORTH;142
72;ORTH;142
73;ORTH;142
74;ORTH;142
75;ORTH;142
76;ORTH;142
77;ORTH;142
78;ORTH;142
79;ORTH;142
80;ORTH;142
81;ORTH;142
82;URO;72
83;URO;72
84;URO;72
85;URO;72
86;URO;72
87;URO;72
88;URO;72
89;URO;72
90;URO;72
91;URO;72
92;URO;72
93;URO;72
94;URO;72
95;URO;72
96;URO;72
97;URO;72
98;URO;72
99;URO;72
