SURGERY;TYPE;DURATION
0;CARD;99
1;CARD;99
2;CARD;99
3;CARD;99
4;CARD;99
5;CARD;99
6;CARD;99
7;CARD;99
8;CARD;99
9;CARD;99
10;GASTRO;99
11;GASTRO;132
12;GASTRO;132
13;GASTRO;132
14;GASTRO;132
15;GASTRO;132
16;GASTRO;132
17;GASTRO;132
18;GASTRO;132
19;GASTRO;132
20;GASTRO;132
21;GASTRO;132
22;GASTRO;132
23;GYN;78
24;GYN;78
25;GYN;78
26;GYN;78
27;GYN;78
28;GYN;78
29;GYN;78
30;GYN;78
31;GYN;78
32;GYN;78
33;GYN;78
34;GYN;78
35;GYN;78
36;GYN;78
37;GYN;78
38;GYN;78
39;GYN;78
40;GYN;78
41;GYN;78
42;GYN;78
43;MED;75
44;MED;75
45;MED;75
46;ORTH;142
47;ORTH;142
48;ORTH;142
49;ORTH;142
50;ORTH;142
51;ORTH;142
52;ORTH;142
53;ORTH;142
54;ORTH;142
55;ORTH;142
56;ORTH;142
57;ORTH;142
58;URO;72
59;URO;72
60;URO;72
61;URO;72
62;URO;72
63;URO;72
64;URO;72
65;URO;72
66;URO;72
67;URO;72
68;URO;72
69;URO;72
