SURGERY;TYPE;DURATION
0;CARD;99
1;CARD;99
2;CARD;99
3;CARD;99
4;CARD;99
5;CARD;99
6;CARD;99
7;CARD;99
8;CARD;99
9;CARD;99
10;CARD;99
11;CARD;99
12;CARD;99
13;CARD;99
14;CARD;99
15;CARD;99
16;CARD;99
17;CARD;99
18;CARD;99
19;CARD;99
20;CARD;99
21;CARD;99
22;CARD;99
23;CARD;99
24;CARD;99
25;CARD;99
26;CARD;99
27;CARD;99
28;GASTRO;99
29;GASTRO;132
30;GASTRO;132
31;GASTRO;132
32;GASTRO;132
33;GASTRO;132
34;GASTRO;132
35;GASTRO;132
36;GASTRO;132
37;GASTRO;132
38;GASTRO;132
39;GASTRO;132
40;GASTRO;132
41;GASTRO;78
42;GASTRO;78
43;GASTRO;78
44;GASTRO;78
45;GASTRO;99
46;GASTRO;132
47;GASTRO;132
48;GASTRO;132
49;GASTRO;132
50;GASTRO;132
51;GASTRO;132
52;GASTRO;132
53;GASTRO;132
54;GASTRO;132
55;GASTRO;132
56;GASTRO;132
57;GASTRO;132
58;GASTRO;78
59;GASTRO;78
60;GASTRO;78
61;GASTRO;78
62;GASTRO;78
63;GASTRO;78
64;GYN;78
65;GYN;78
66;GYN;78
67;GYN;78
68;GYN;78
69;GYN;78
70;GYN;78
71;GYN;78
72;GYN;78
73;GYN;78
74;GYN;78
75;GYN;78
76;GYN;78
77;GYN;78
78;GYN;78
79;GYN;78
80;GYN;78
81;GYN;78
82;GYN;78
83;GYN;78
84;GYN;78
85;GYN;78
86;GYN;78
87;GYN;78
88;GYN;78
89;GYN;78
90;GYN;78
91;GYN;78
92;GYN;78
93;GYN;78
94;GYN;78
95;GYN;78
96;GYN;78
97;GYN;78
98;GYN;78
99;GYN;78
100;GYN;78
101;GYN;78
102;GYN;78
103;GYN;78
104;GYN;78
105;GYN;78
106;GYN;78
107;GYN;78
108;GYN;78
109;GYN;78
110;GYN;78
111;GYN;78
112;GYN;78
113;GYN;78
114;GYN;78
115;GYN;78
116;GYN;78
117;GYN;78
118;GYN;78
119;GYN;78
120;MED;75
121;MED;75
122;MED;75
123;MED;75
124;MED;75
125;MED;75
126;MED;75
127;MED;75
128;MED;75
129;ORTH;142
130;ORTH;142
131;ORTH;142
132;ORTH;142
133;ORTH;142
134;ORTH;142
135;ORTH;142
136;ORTH;142
137;ORTH;142
138;ORTH;142
139;ORTH;142
140;ORTH;142
141;ORTH;142
142;ORTH;142
143;ORTH;142
144;ORTH;142
145;ORTH;142
146;ORTH;142
147;ORTH;142
148;ORTH;142
149;ORTH;142
150;ORTH;142
151;ORTH;142
152;ORTH;142
153;ORTH;142
154;ORTH;142
155;ORTH;142
156;ORTH;142
157;ORTH;142
158;ORTH;142
159;ORTH;142
160;ORTH;142
161;ORTH;142
162;ORTH;142
163;ORTH;142
164;URO;72
165;URO;72
166;URO;72
167;URO;72
168;URO;72
169;URO;72
170;URO;72
171;URO;72
172;URO;72
173;URO;72
174;URO;72
175;URO;72
176;URO;72
177;URO;72
178;URO;72
179;URO;72
180;URO;72
181;URO;72
182;URO;72
183;URO;72
184;URO;72
185;URO;72
186;URO;72
187;URO;72
188;URO;72
189;URO;72
190;URO;72
191;URO;72
192;URO;72
193;URO;72
194;URO;72
195;URO;72
196;URO;72
197;URO;72
198;URO;72
199;URO;72
