Surgery,Block,Start,Real Start,Status,Specialty,BlockType,Arrival Day,Arrival Time,Day,Room
0,16,325.3578801263576,"[325.3578801263576, 325.3578801263576, 325.3578801263576, 325.3578801263576, 325.3578801263576, 325.3578801263576, 325.3578801263576, 325.3578801263576, 325.3578801263576, 325.3578801263576]","[0.0, 0.0, 0.0, 0.0, -0.0, -0.0, 0.0, -0.0, 0.0, -0.0]",MED,MED,-,-,Wednesday,4
1,16,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, -0.0, -0.0, 0.0, -0.0, 0.0, -0.0]",MED,MED,-,-,Wednesday,4
2,16,186.99687643935562,"[186.99687643935562, 186.99687643935562, 186.99687643935562, 186.99687643935562, 186.99687643935562, 186.99687643935562, 186.99687643935562, 186.99687643935562, 186.99687643935562, 186.99687643935567]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",MED,MED,-,-,Wednesday,4
3,3,339.4773558200247,"[339.4773558200247, 339.4773558200247, 373.3022897081896, 339.4773558200247, 339.4773558200247, 339.4773558200247, 339.4773558200247, 339.4773558200247, 339.4773558200247, 339.4773558200247]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0]",GYN,GYN,-,-,Monday,5
4,3,113.2232770678279,"[113.2232770678279, 113.2232770678279, 113.2232770678279, 113.2232770678279, 113.2232770678279, 113.2232770678279, 113.2232770678279, 113.2232770678279, 159.08579273717152, 113.2232770678279]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0]",GYN,GYN,-,-,Monday,5
5,3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",GYN,GYN,-,-,Monday,5
6,10,-1.3642420526593924e-12,"[-1.3642420526593924e-12, -1.3642420526593924e-12, -1.3642420526593924e-12, -1.3642420526593924e-12, -1.3642420526593924e-12, -1.3642420526593924e-12, -1.3642420526593924e-12, -1.3642420526593924e-12, -1.3642420526593924e-12, -1.3642420526593924e-12]","[0.0, 0.0, 0.0, -0.0, -0.0, 0.0, -0.0, 0.0, -0.0, 0.0]",GYN,GYN,-,-,Tuesday,6
7,10,354.60820889948303,"[354.60820889948303, 354.60820889948303, 354.60820889948303, 354.60820889948303, 354.60820889948303, 381.6894028880895, 354.60820889948303, 354.60820889948303, 354.60820889948303, 354.60820889948303]","[0.0, 0.0, 0.0, -0.0, -0.0, 0.0, -0.0, 0.0, -0.0, 0.0]",GYN,GYN,-,-,Tuesday,6
8,10,251.07136569223385,"[302.02106830945905, 251.07136569223385, 251.07136569223385, 251.07136569223385, 251.07136569223385, 251.07136569223385, 251.07136569223385, 251.07136569223385, 251.07136569223385, 251.07136569223385]","[0.0, 0.0, 0.0, -0.0, -0.0, 0.0, -0.0, 0.0, -0.0, 0.0]",GYN,GYN,-,-,Tuesday,6
9,10,110.06911205430342,"[110.06911205430342, 203.47212316820136, 110.06911205430342, 110.06911205430342, 110.06911205430342, 142.93722504086455, 110.06911205430342, 110.06911205430342, 110.06911205430342, 110.06911205430342]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",GYN,GYN,-,-,Tuesday,6
10,11,218.4129109042348,"[218.4129109042348, 218.41291090423297, 218.4129109042348, 218.4129109042348, 218.4129109042348, 218.4129109042348, 218.4129109042348, 218.4129109042348, 218.4129109042348, 218.4129109042348]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0]",GYN,GYN,-,-,Tuesday,7
11,11,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0]",GYN,GYN,-,-,Tuesday,7
12,11,130.74594725177178,"[130.74594725177178, 130.74594725177178, 130.74594725177178, 130.74594725177178, 130.74594725177178, 130.74594725177178, 130.74594725177178, 130.74594725177178, 130.74594725177178, 130.74594725177178]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",GYN,GYN,-,-,Tuesday,7
13,17,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",GYN,GYN,-,-,Wednesday,5
14,17,287.99447233551393,"[287.99447233551393, 287.99447233551393, 287.99447233551393, 452.1994474847643, 287.99447233551393, 287.99447233551393, 287.99447233551393, 287.99447233551393, 287.99447233551393, 287.99447233551393]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",GYN,GYN,-,-,Wednesday,5
15,18,157.83358631991578,"[471.48218007929574, 157.83358631991578, 157.83358631991578, 157.83358631991578, 223.58286795278627, 157.83358631991578, 164.22081085342597, 157.83358631991578, 157.83358631991578, 157.83358631991578]","[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, 0.0, -0.0, 0.0, -0.0]",GYN,GYN,-,-,Wednesday,6
16,18,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, 0.0, -0.0, 0.0, -0.0]",GYN,GYN,-,-,Wednesday,6
