Surgery,Block,Start,Real Start,Status,Specialty,BlockType,Arrival Day,Arrival Time,Day,Room
0,16,0.0,"[0.0, 0.0, 0.0, 177.0, 0.0, 158.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 135.0, 0.0, 0.0, 189.0, 0.0, 0.0, 67.0, 0.0, 0.0, 615.0, 81.0, 0.0, 0.0, 0.0, 352.0, 0.0, 91.0, 0.0, 472.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 110.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 528.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 579.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 113.0, 102.0, 419.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 330.0, 0.0, 0.0, 0.0, 0.0, 0.0, 379.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",MED,MED,-,-,Wednesday,4
1,16,340.2232768678734,"[852.9162094822973, 340.2232768678734, 571.3108974983645, 438.1361843946867, 342.17567462394055, 340.2232768678734, 380.5895610810654, 341.91351686520994, 340.2232768678734, 340.2232768678734, 340.2232768678734, 362.96716826882744, 404.9030848081697, 340.2232768678734, 395.51424954491324, 413.3297206640332, 340.2232768678734, 340.2232768678734, 340.2232768678734, 393.62958725671103, 340.2232768678734, 357.7813398004551, 340.2232768678734, 866.4807997505511, 424.6175463611779, 340.2232768678734, 340.2232768678734, 340.2232768678734, 558.797401559003, 340.2232768678734, 530.085958872267, 420.0003546405263, 695.6473552076486, 340.2232768678734, 340.2232768678734, 377.4744066630698, 340.2232768678734, 366.4834236918889, 466.6949719798551, 380.6531183571544, 385.4075662928843, 340.2232768678734, 340.2232768678734, 340.2232768678734, 397.33421501404086, 340.2232768678734, 342.85041057373013, 353.55960619887355, 340.2232768678734, 340.2232768678734, 340.2232768678734, 654.7309424865819, 509.2446406387075, 340.2232768678734, 340.2232768678734, 436.4455175504945, 341.8631921036737, 390.82544172465424, 340.2232768678734, 502.12732368429226, 369.280188935496, 766.9591797835911, 340.2232768678734, 368.4911362876764, 349.0593076454491, 512.7553774440123, 340.2232768678734, 340.2232768678734, 351.3466940705829, 340.2232768678734, 340.2232768678734, 340.2232768678734, 340.2232768678734, 376.6626300863078, 446.84881854262966, 340.2232768678734, 625.6265055008602, 340.2232768678734, 340.2232768678734, 340.2232768678734, 340.2232768678734, 361.87187981574, 340.2232768678734, 340.2232768678734, 354.7182500608369, 340.2232768678734, 340.2232768678734, 340.2232768678734, 522.1278001648985, 340.2232768678734, 340.2232768678734, 340.2232768678734, 340.2232768678734, 340.2232768678734, 490.91984897751564, 352.3941137063057, 340.2232768678734, 340.2232768678734, 340.2232768678734, 409.4324450556761]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",MED,MED,-,-,Wednesday,4
2,16,136.91552504258522,"[136.91552504258522, 136.91552504258522, 439.0, 224.11257766169217, 174.806477772622, 185.4092945355056, 136.91552504258522, 136.91552504258522, 136.91552504258522, 136.91552504258522, 156.06622061694824, 136.91552504258522, 136.91552504258522, 136.91552504258522, 238.62198422889037, 142.8332557623909, 136.91552504258522, 222.10215297029768, 136.91552504258522, 136.91552504258522, 136.91552504258522, 235.0, 136.91552504258522, 728.3113120595864, 209.67704474699792, 136.91552504258522, 136.91552504258522, 136.91552504258522, 478.942332161324, 136.91552504258522, 277.0, 276.0, 549.6966760575289, 136.91552504258522, 136.91552504258522, 136.91552504258522, 136.91552504258522, 136.91552504258522, 136.91552504258522, 136.91552504258522, 233.6062892327583, 136.91552504258522, 187.13019109105426, 136.91552504258522, 136.91552504258522, 136.91552504258522, 136.91552504258522, 136.91552504258522, 136.91552504258522, 136.91552504258516, 150.66085396987555, 594.6168077469135, 136.91552504258522, 136.91552504258522, 136.91552504258522, 136.91552504258522, 136.91552504258522, 182.221432122225, 136.91552504258522, 136.91552504258522, 169.30116937192136, 629.2002235834568, 136.91552504258522, 143.39360886571464, 136.91552504258522, 212.0, 136.91552504258522, 136.91552504258522, 166.37234589540995, 183.0, 136.91552504258522, 136.91552504258522, 136.91552504258522, 136.91552504258522, 356.0, 146.11650087244126, 480.85211192032637, 136.91552504258522, 136.91552504258522, 136.91552504258522, 136.91552504258522, 148.356652208736, 136.91552504258522, 136.91552504258522, 136.91552504258522, 136.91552504258522, 136.91552504258522, 136.91552504258522, 381.77060185902155, 136.91552504258522, 136.91552504258522, 136.91552504258522, 136.91552504258522, 136.91552504258522, 403.0499768864847, 193.87104580926035, 136.91552504258522, 136.91552504258522, 136.91552504258522, 136.91552504258522]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",MED,MED,-,-,Wednesday,4
3,16,237.28993757748762,"[831.3448535162947, 237.28993757748762, 489.2889726347663, 315.6067644042288, 237.28993757748762, 237.28993757748762, 237.28993757748762, 262.4269988616294, 237.28993757748762, 242.71925002973444, 237.28993757748762, 237.28993757748762, 237.28993757748762, 237.28993757748762, 313.16374156115313, 237.28993757748762, 237.28993757748762, 256.587276864839, 237.28993757748762, 237.28993757748762, 237.28993757748762, 319.20143624795406, 240.02251809552016, 809.350222431201, 337.04194662864785, 237.28993757748762, 237.28993757748762, 237.28993757748762, 517.4360558650887, 237.28993757748762, 404.0, 404.7341778276083, 646.6301981742264, 237.28993757748762, 237.28993757748762, 237.28993757748762, 237.28993757748762, 237.28993757748762, 279.24464486357545, 237.28993757748762, 340.8463929964524, 237.28993757748762, 256.85978146133107, 237.28993757748762, 358.8927132224088, 237.28993757748762, 237.28993757748762, 237.28993757748762, 237.28993757748762, 237.28993757748762, 237.28993757748762, 629.324431872376, 455.0, 237.28993757748762, 237.28993757748762, 381.83163684020417, 237.28993757748762, 300.8562314150376, 237.28993757748762, 397.0, 306.74546867331793, 659.4819143975918, 255.02349552514835, 237.28993757748762, 237.28993757748762, 301.84756794281157, 237.28993757748762, 237.28993757748762, 237.28993757748762, 256.75441873084804, 237.28993757748762, 237.28993757748762, 237.28993757748762, 237.28993757748762, 375.78645010133647, 262.7362219858965, 550.8356982142955, 237.28993757748762, 237.28993757748762, 237.28993757748762, 237.28993757748762, 324.8916909076324, 237.28993757748762, 237.28993757748762, 237.28993757748762, 237.28993757748762, 237.28993757748762, 237.28993757748762, 475.7943062461883, 237.28993757748762, 237.28993757748762, 238.69674689235313, 237.28993757748762, 237.28993757748762, 450.68133400350683, 305.34135882709927, 250.57639273187942, 237.28993757748762, 237.2899375774776, 348.99999999999926]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",MED,MED,-,-,Wednesday,4
4,3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 480.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 445.0, 0.0, 0.0, 0.0, 122.0, 319.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 482.0, 0.0, 0.0, 110.0, 0.0, 0.0, 0.0, 0.0, 152.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 493.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 199.0, 0.0, 0.0, 0.0, 0.0, 212.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",GYN,GYN,-,-,Monday,5
5,3,84.90727890686831,"[84.90727890686831, 84.90727890686833, 109.91966267786721, 84.90727890686831, 84.90727890686831, 103.93045764666557, 113.75437574959155, 84.90727890686831, 84.90727890686831, 84.90727890686831, 84.90727890686831, 84.90727890686831, 85.00555511478991, 236.09003288705895, 86.93178440864155, 84.90727890686831, 526.1420086355831, 84.90727890686831, 84.90727890686831, 425.0, 84.90727890686831, 84.90727890686831, 84.90727890686831, 84.90727890686831, 122.46211434138371, 84.90727890686831, 84.90727890686831, 84.90727890686831, 119.93208437596304, 84.90727890686831, 84.90727890686831, 476.0899068954141, 84.90727890686831, 109.63384251694184, 84.90727890686831, 166.73530048901873, 443.5497755805366, 84.90727890686831, 84.90727890686831, 84.90727890686831, 124.13679073244148, 115.06611151615304, 84.90727890686831, 507.0, 84.90727890686831, 84.90727890686831, 84.90727890686831, 135.34759706904498, 84.90727890686831, 84.90727890686831, 84.90727890686831, 310.0, 117.74607933707429, 108.0, 269.0, 84.90727890686831, 84.90727890686831, 598.4970768728367, 84.90727890686831, 118.91296327871642, 175.2175817005263, 84.90727890686831, 137.1024455745884, 146.14354075243514, 84.90727890686831, 205.3989350959628, 184.0, 84.90727890686831, 84.90727890686831, 84.90727890686831, 84.90727890686831, 116.0, 84.90727890686831, 84.90727890686831, 84.90727890686831, 105.72304764924012, 90.60131490375416, 84.90727890686831, 84.90727890686831, 544.1670336592716, 110.91478646329823, 84.90727890686831, 84.90727890686831, 209.7330899390055, 84.90727890686831, 84.90727890686831, 84.90727890686831, 84.90727890686831, 84.90727890686831, 106.2728125181099, 84.90727890686831, 262.1445593883769, 453.0, 84.90727890686831, 84.90727890686831, 84.90727890686831, 276.5371707368772, 84.90727890686831, 84.90727890686831, 84.90727890686831]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",GYN,GYN,-,-,Monday,5
6,3,201.41692555067726,"[464.35582730424136, 317.8681644155399, 251.72845453355518, 201.41692555067726, 229.2203305521527, 201.41692555067726, 201.41692555067726, 228.68151813396668, 201.41692555067726, 201.41692555067726, 202.03075338577537, 201.41692555067726, 275.16898589278424, 281.5956317955299, 201.41692555067726, 201.41692555067726, 564.5917793455675, 201.41692555067726, 201.41692555067726, 465.06769509306304, 201.41692555067726, 201.41692555067726, 201.41692555067726, 201.41692555067726, 369.0648743380857, 370.0, 201.41692555067726, 201.41692555067726, 334.0, 201.41692555067726, 461.7660340465708, 614.4106660492147, 209.28149168774416, 201.41692555067726, 270.4282115600634, 224.7062470093676, 475.3110279989421, 201.41692555067726, 201.41692555067726, 201.41692555067726, 278.15249418614525, 480.0, 201.41692555067726, 557.8555763395783, 223.62168130478614, 201.41692555067726, 201.41692555067726, 202.03468520475343, 248.57185966417762, 201.41692555067726, 201.41692555067726, 361.5719834985852, 201.41692555067726, 201.41692555067726, 311.5554896633441, 201.41692555067726, 201.41692555067726, 657.9875695969553, 201.41692555067726, 204.02636889868947, 251.67996570500006, 201.41692555067726, 216.40795034632083, 217.18302584542712, 201.41692555067726, 270.3755972813996, 423.0, 201.41692555067726, 201.41692555067726, 201.41692555067726, 201.41692555067726, 585.0, 201.41692555067726, 201.41692555067726, 201.41692555067726, 268.141059987057, 464.0, 201.41692555067726, 201.41692555067726, 617.2333338113914, 201.41692555067726, 201.41692555067726, 201.41692555067726, 290.42540308866114, 201.41692555067726, 201.41692555067726, 201.41692555067726, 201.41692555067726, 201.41692555067726, 204.80993090376217, 201.41692555067726, 285.0216805351951, 508.8336827929497, 201.41692555067726, 201.41692555067726, 201.41692555067726, 284.0128389755698, 201.41692555067726, 266.49018050575023, 201.41692555067726]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",GYN,GYN,-,-,Monday,5
7,3,315.76737711283636,"[528.3939241199542, 418.8288793200521, 315.76737711283636, 315.76737711283636, 378.39602869517165, 315.76737711283636, 315.76737711283636, 315.76737711283636, 315.76737711283636, 315.76737711283636, 315.76737711283636, 315.76737711283636, 315.76737711283636, 336.88263411212085, 315.76737711283636, 365.43767149534517, 728.7951609793906, 315.76737711283636, 315.76737711283636, 547.865298707104, 315.76737711283636, 315.76737711283636, 315.76737711283636, 315.76737711283636, 487.50551477386006, 421.60394582336556, 315.76737711283636, 315.76737711283636, 393.13730932074515, 330.47754370921723, 508.6277471327219, 673.7008670894553, 315.76737711283636, 315.76737711283636, 385.0268503058105, 315.76737711283636, 563.0131897691311, 315.76737711283636, 315.76737711283636, 315.76737711283636, 405.870915974486, 519.9657314563799, 315.76737711283636, 585.0423405989638, 315.76737711283636, 383.0, 379.3070539543846, 330.3052205128072, 315.76737711283636, 315.76737711283636, 333.2495539230715, 415.6938226044391, 420.77079017936353, 482.0, 366.0349293781833, 315.76737711283636, 315.76737711283636, 750.1054320956839, 347.34944520540284, 315.76737711283636, 370.12355853393626, 315.76737711283636, 315.76737711283636, 315.76737711283636, 397.76967116665855, 315.76737711283636, 464.904947107661, 315.76737711283636, 315.76737711283636, 344.8057306598607, 315.76737711283636, 629.2056497303772, 362.975243333873, 315.76737711283636, 322.23940245179244, 362.43486307118, 517.0973689211944, 315.76737711283636, 315.76737711283636, 697.0951538724795, 315.76737711283636, 457.88917443892393, 369.56458992784087, 339.183577987354, 315.76737711283636, 315.76737711283636, 315.76737711283636, 315.76737711283636, 315.76737711283636, 315.76737711283636, 315.76737711283636, 331.61221176858345, 655.4148228473593, 315.76737711283636, 437.29518577222893, 474.3485909667848, 396.5313581451049, 317.6543854254127, 366.26296273732817, 315.76737711283636]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",GYN,GYN,-,-,Monday,5
8,10,310.5720920083658,"[382.48995485711896, 310.5720920083658, 341.3421664562269, 557.6476108567575, 740.0316998227497, 310.5720920083658, 310.5720920083658, 310.5720920083658, 310.5720920083658, 310.5720920083658, 465.26351797019686, 310.5720920083658, 310.5720920083658, 466.0, 748.7980966132338, 641.7267737849393, 310.5720920083658, 491.79566509908574, 386.8581699515322, 310.5720920083658, 310.5720920083658, 322.65621748653626, 310.5720920083658, 747.6950500595552, 310.5720920083658, 310.5720920083658, 545.8055286084799, 453.93397242435384, 310.5720920083658, 310.5720920083658, 421.39038175334275, 310.5720920083658, 310.5720920083658, 310.5720920083658, 328.01620513334507, 608.1365652799888, 368.5044614873743, 310.5720920083658, 310.5720920083658, 315.61514376700256, 465.4697865929904, 310.5720920083658, 310.5720920083658, 310.5720920083658, 310.5720920083658, 310.5720920083658, 351.8371412752346, 337.171581852027, 607.0, 414.0, 682.9185910947734, 310.5720920083658, 335.41371224883454, 310.5720920083658, 310.5720920083658, 310.5720920083658, 330.22771259567327, 310.5720920083658, 313.26493751758176, 310.5720920083658, 310.5720920083658, 389.9812957488003, 310.5720920083658, 310.5720920083658, 310.5720920083658, 476.75693915162503, 539.6204500679523, 693.7577420845894, 310.5720920083658, 352.6896261759057, 394.0, 310.5720920083658, 410.49044463749016, 310.5720920083658, 524.6381912112819, 490.69206466197573, 310.5720920083658, 737.5071650121378, 409.10893010686414, 655.2256543961922, 382.0654313985917, 382.0, 310.5720920083658, 310.5720920083658, 461.9178199898869, 310.5720920083658, 310.5720920083658, 539.7223467615777, 869.723425933012, 310.5720920083658, 465.6620471284809, 441.2700180886816, 310.5720920083658, 373.42365815057116, 397.42331525968456, 655.7892144787587, 310.5720920083658, 310.5720920083658, 447.300502992208, 310.5720920083658]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",GYN,GYN,-,-,Tuesday,6
9,10,181.31217372886744,"[359.0545426839779, 197.9877014203041, 181.31217372886744, 515.2091485427967, 609.6868519302433, 216.12177889621987, 181.31217372886744, 181.31217372886744, 181.31217372886744, 239.2684061874058, 312.7561895872417, 181.31217372886744, 181.31217372886744, 181.31217372886744, 689.2649275723888, 615.3040283026131, 181.31217372886744, 397.33081267208917, 181.31217372886744, 181.31217372886744, 181.31217372886744, 267.0, 190.0, 673.9658246846582, 201.49935669921575, 181.31217372886744, 529.0738081973001, 389.5897103715626, 181.31217372886744, 235.42718418520695, 395.178667979337, 181.31217372886744, 181.31217372886744, 181.31217372886744, 181.31217372886744, 518.4471767036804, 181.31217372886744, 181.31217372886744, 181.31217372886744, 225.48216866167783, 181.31217372886744, 181.31217372886744, 181.31217372886744, 181.31217372886744, 181.31217372886744, 181.31217372886744, 181.31217372886744, 181.31217372886744, 181.96288148130793, 222.89186619060845, 646.2423601084566, 181.31217372886744, 181.31217372886744, 181.31217372886744, 181.31217372886744, 181.31217372886744, 297.446422113357, 181.31217372886744, 181.31217372886744, 185.06993419370013, 181.868830620426, 375.10301992528395, 181.31217372886744, 181.31217372886744, 181.31217372886744, 391.61811757202906, 414.01956737259076, 610.4397336904433, 241.89564013842, 285.89357149759104, 181.31217372886744, 181.31217372886744, 294.93631239351043, 181.31217372886744, 502.5114290474248, 386.75741959849256, 181.31217372886744, 700.7616694219904, 181.31217372886744, 524.0037077826724, 181.31217372886744, 253.8097772155706, 181.31217372886744, 181.31217372886744, 404.9799368399976, 181.31217372886744, 181.31217372886744, 462.98638776760146, 797.9187320200584, 181.31217372886744, 399.8870338630523, 468.22305305160114, 181.31217372886744, 341.25778473196914, 322.4884292816195, 442.0679209079154, 181.31217372886744, 181.31217372886744, 397.00214904808007, 181.31217372886744]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",GYN,GYN,-,-,Tuesday,6
