Surgery,Block,Start,Real Start,Status,Specialty,BlockType,Arrival Day,Arrival Time,Day,Room
0,16,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 181.19567306357175, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",MED,MED,-,-,Wednesday,4
1,16,209.30254191381619,"[278.8234670999591, 209.30254191381619, 209.30254191381619, 209.30254191381619, 209.30254191381619, 209.30254191381619, 209.30254191381619, 209.30254191381619, 209.30254191381619, 273.8160687058391, 209.30254191381619, 234.12915942984517, 209.30254191381619, 209.30254191381619, 209.30254191381619, 209.30254191381619, 209.30254191381619, 209.30254191381619, 209.30254191381619, 230.7241232753786, 209.30254191381619, 209.30254191381619, 209.30254191381619, 256.4511705598389, 209.30254191381619, 209.30254191381619, 209.30254191381619, 209.30254191381619, 338.888424996956, 209.30254191381619, 355.7842300381959, 231.42095186892436, 209.30254191381619, 209.30254191381619, 262.35618147519807, 209.30254191381619, 216.3863360963509, 284.1664762078852, 209.30254191381619, 209.30254191381619, 349.3668996284198, 209.30254191381619, 209.30254191381619, 264.19171239305365, 209.30254191381619, 209.30254191381619, 209.30254191381619, 209.30254191381619, 209.30254191381619, 209.30254191381619, 209.30254191381619, 209.30254191381619, 209.30254191381619, 209.30254191381619, 209.30254191381619, 216.22663446209987, 209.30254191381619, 209.30254191381619, 209.30254191381619, 209.30254191381619, 209.30254191381619, 209.30254191381619, 247.64063294279435, 242.37817347280878, 209.30254191381619, 215.17365877502678, 209.30254191381619, 209.30254191381619, 214.63653415859312, 280.6298863684634, 209.30254191381619, 209.30254191381619, 209.30254191381619, 209.30254191381619, 216.12099396053827, 209.30254191381619, 278.69498289556134, 209.30254191381619, 210.7398977067332, 209.30254191381619, 209.30254191381619, 209.30254191381619, 405.46153808075087, 209.30254191381619, 209.30254191381619, 234.4335487754211, 371.0920919362109, 209.30254191381619, 209.30254191381619, 209.30254191381619, 299.3634616672717, 240.64607888022528, 209.30254191381619, 209.30254191381619, 209.30254191381619, 229.79847121661308, 209.30254191381619, 209.30254191381619, 209.30254191381619, 261.5687772485246]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",MED,MED,-,-,Wednesday,4
2,16,339.7883366662884,"[339.7883366662884, 366.5517490759245, 339.7883366662884, 339.7883366662884, 339.7883366662884, 532.7668148036798, 339.7883366662884, 339.7883366662884, 339.7883366662884, 339.7883366662884, 339.7883366662884, 339.7883366662884, 339.7883366662884, 339.7883366662884, 339.7883366662884, 339.7883366662884, 339.7883366662884, 339.7883366662884, 339.7883366662884, 371.8879842637935, 339.7883366662884, 339.7883366662884, 339.7883366662884, 455.47149811694317, 339.7883366662884, 339.7883366662884, 339.7883366662884, 397.54727443621516, 498.4628248500036, 339.7883366662884, 399.044192332095, 339.7883366662884, 339.7883366662884, 339.7883366662884, 339.7883366662884, 339.7883366662884, 339.7883366662884, 339.7883366662884, 339.7883366662884, 339.7883366662884, 386.7496056670917, 339.7883366662884, 366.998170932647, 339.7883366662884, 339.7883366662884, 339.7883366662884, 435.1211353022768, 339.7883366662884, 339.7883366662884, 339.7883366662884, 339.7883366662884, 368.37102966673035, 339.7883366662884, 339.7883366662884, 339.7883366662884, 339.7883366662884, 382.5058219848177, 339.7883366662884, 339.7883366662884, 339.7883366662884, 339.7883366662884, 382.9162463693541, 339.7883366662884, 339.7883366662884, 500.49651372089636, 339.7883366662884, 339.7883366662884, 339.7883366662884, 339.7883366662884, 339.7883366662884, 374.34387564763335, 339.7883366662884, 339.7883366662884, 339.7883366662884, 339.7883366662884, 339.7883366662884, 390.34422058518066, 339.7883366662884, 339.7883366662884, 339.7883366662884, 339.7883366662884, 339.7883366662884, 462.135771684149, 339.7883366662884, 339.7883366662884, 339.7883366662884, 411.30260615735824, 339.7883366662884, 339.7883366662884, 339.7883366662884, 339.7883366662884, 347.6056609292671, 339.7883366662884, 339.7883366662884, 339.7883366662884, 339.7883366662884, 339.7883366662884, 339.7883366662884, 339.7883366662884, 362.37416967144213]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",MED,MED,-,-,Wednesday,4
3,16,96.9501977353641,"[96.9501977353641, 96.9501977353641, 96.9501977353641, 96.9501977353641, 96.9501977353641, 96.9501977353641, 96.9501977353641, 96.9501977353641, 96.9501977353641, 182.0161138671491, 96.9501977353641, 96.9501977353641, 96.9501977353641, 96.9501977353641, 96.9501977353641, 96.9501977353641, 98.57530601821917, 96.9501977353641, 127.17748804872603, 96.9501977353641, 96.9501977353641, 96.9501977353641, 96.9501977353641, 102.67993736146884, 96.9501977353641, 100.7518989387158, 96.9501977353641, 96.9501977353641, 96.9501977353641, 113.31131205958654, 112.08760446704252, 98.7624375205424, 96.9501977353641, 96.9501977353641, 96.9501977353641, 96.9501977353641, 108.40556978762578, 226.43792716113597, 96.9501977353641, 96.9501977353641, 96.9501977353641, 96.9501977353641, 96.9501977353641, 96.9501977353641, 96.9501977353641, 125.65930736145064, 119.88031026941921, 96.9501977353641, 96.9501977353641, 137.67691933852444, 128.31263049399666, 105.0757374896344, 96.9501977353641, 96.9501977353641, 96.9501977353641, 96.9501977353641, 96.9501977353641, 96.9501977353641, 96.9501977353641, 96.9501977353641, 103.07235640408233, 96.9501977353641, 132.9730813770374, 216.67170475474487, 96.9501977353641, 96.9501977353641, 96.9501977353641, 96.9501977353641, 96.9501977353641, 96.9501977353641, 96.9501977353641, 96.9501977353641, 96.9501977353641, 113.5010153057074, 96.9501977353641, 96.9501977353641, 96.9501977353641, 96.9501977353641, 96.9501977353641, 96.9501977353641, 115.35565536053282, 96.9501977353641, 109.76181271447258, 96.9501977353641, 96.9501977353641, 96.9501977353641, 231.10407832048273, 96.9501977353641, 96.9501977353641, 100.78515211709124, 96.9501977353641, 137.7334199670046, 120.43649214382043, 165.2184490168218, 96.9501977353641, 96.9501977353641, 96.9501977353641, 96.9501977353641, 96.9501977353641, 108.3748626985678]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",MED,MED,-,-,Wednesday,4
4,3,317.5673359326766,"[394.35082904254205, 317.5673359326766, 317.5673359326766, 317.5673359326766, 317.5673359326766, 338.4293583990893, 317.5673359326766, 317.5673359326766, 317.5673359326766, 317.5673359326766, 317.5673359326766, 349.05429006403756, 317.5673359326766, 390.2868249829807, 317.5673359326766, 317.5673359326766, 317.5673359326766, 317.5673359326766, 416.22579770357845, 317.5673359326766, 317.5673359326766, 317.5673359326766, 394.3210046110779, 317.5673359326766, 317.5673359326766, 317.5673359326766, 317.5673359326766, 317.5673359326766, 467.745302317476, 317.5673359326766, 712.3218718996336, 317.5673359326766, 317.5673359326766, 354.15104320976604, 317.5673359326766, 351.4811184878119, 382.36773370399686, 317.5673359326766, 317.5673359326766, 317.5673359326766, 317.5673359326766, 327.6866448959743, 317.5673359326766, 317.5673359326766, 317.5673359326766, 325.3319029898541, 324.9794475299143, 317.5673359326766, 317.5673359326766, 317.5673359326766, 317.5673359326766, 406.6581575545979, 317.5673359326766, 429.3546654780916, 371.2142130956233, 317.5673359326766, 382.23812335883315, 317.5673359326766, 317.5673359326766, 332.20641346754013, 317.5673359326766, 317.5673359326766, 317.5673359326766, 317.5673359326766, 317.5673359326766, 317.5673359326766, 319.3810746836705, 317.5673359326766, 352.19914309720053, 317.5673359326766, 317.5673359326766, 317.5673359326766, 406.5134447490642, 328.4109820425972, 317.5673359326766, 327.6839321078136, 317.5673359326766, 355.1875215672049, 408.54311338596, 317.5673359326766, 317.5673359326766, 337.4995952407959, 317.5673359326766, 346.58176506317886, 342.3356368139466, 317.5673359326766, 317.5673359326766, 317.5673359326766, 317.5673359326766, 371.9258511608568, 317.5673359326766, 317.5673359326766, 317.5673359326766, 326.74310822028855, 317.5673359326766, 317.5673359326766, 317.5673359326766, 365.7668041256217, 317.5673359326766, 317.5673359326766]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",GYN,GYN,-,-,Monday,5
5,10,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 472.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 236.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",GYN,GYN,-,-,Tuesday,6
6,10,266.9054507977862,"[266.9054507977862, 266.9054507977862, 266.9054507977862, 266.9054507977862, 283.98941290869595, 266.9054507977862, 266.9054507977862, 266.9054507977862, 266.9054507977862, 266.9054507977862, 266.9054507977862, 282.4536477478528, 266.9054507977862, 266.9054507977862, 266.9054507977862, 266.9054507977862, 266.9054507977862, 266.9054507977862, 266.9054507977862, 324.86376515904465, 430.35810046709844, 266.9054507977862, 266.9054507977862, 266.9054507977862, 266.9054507977862, 289.921948994967, 302.8222511024271, 266.9054507977862, 266.9054507977862, 266.9054507977862, 409.60381301609937, 266.9054507977862, 303.4627883375644, 266.9054507977862, 266.9054507977862, 266.9054507977862, 266.9054507977862, 266.9054507977862, 266.9054507977862, 266.9054507977862, 266.9054507977862, 266.9054507977862, 266.9054507977862, 274.7395378020605, 266.9054507977862, 266.9054507977862, 266.9054507977862, 266.9054507977862, 293.70647439643335, 266.9054507977862, 266.9054507977862, 312.54765487586576, 571.1779271870828, 266.9054507977862, 266.9054507977862, 266.9054507977862, 302.9271361759842, 266.9054507977862, 266.9054507977862, 266.9054507977862, 266.9054507977862, 462.713038835553, 329.5199729140229, 266.9054507977862, 266.9054507977862, 266.9054507977862, 266.9054507977862, 266.9054507977862, 266.9054507977862, 266.9054507977862, 268.4219151825281, 266.9054507977862, 266.9054507977862, 266.9054507977862, 266.9054507977862, 339.0, 266.9054507977862, 266.9054507977862, 266.9054507977862, 266.9054507977862, 268.29933620789535, 417.5724731235907, 266.9054507977862, 266.9054507977862, 266.9054507977862, 266.9054507977862, 266.9054507977862, 266.9054507977862, 266.9054507977862, 266.9054507977862, 316.8874077210501, 266.9054507977862, 266.9054507977862, 266.9054507977862, 266.9054507977862, 266.9054507977862, 266.9054507977862, 266.9054507977862, 266.9054507977862, 266.9054507977862]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",GYN,GYN,-,-,Tuesday,6
7,10,128.03550639758288,"[244.02777269700232, 128.03550639758288, 174.874683542178, 220.99744121185034, 128.03550639758288, 128.03550639758288, 128.03550639758288, 128.03550639758288, 128.03550639758288, 128.03550639758288, 128.03550639758288, 149.63423025725623, 134.9984699346608, 128.03550639758288, 128.03550639758288, 128.03550639758288, 181.91159799854643, 128.03550639758288, 128.03550639758288, 128.03550639758288, 128.03550639758288, 128.03550639758288, 128.03550639758288, 142.49008744827705, 128.03550639758288, 128.03550639758288, 128.03550639758288, 128.03550639758288, 128.03550639758288, 128.03550639758288, 128.03550639758288, 128.03550639758288, 128.03550639758288, 128.03550639758288, 128.03550639758288, 128.03550639758288, 128.03550639758288, 128.03550639758288, 128.03550639758288, 128.03550639758288, 128.03550639758288, 128.03550639758288, 128.03550639758288, 128.03550639758288, 128.03550639758288, 128.03550639758288, 128.03550639758288, 128.03550639758288, 128.03550639758288, 128.03550639758288, 128.03550639758288, 128.03550639758288, 508.64097990377354, 128.03550639758288, 128.03550639758288, 143.20590289430785, 128.03550639758288, 128.03550639758288, 128.03550639758288, 128.03550639758288, 128.03550639758288, 395.0, 128.03550639758288, 128.03550639758288, 128.03550639758288, 128.03550639758288, 128.03550639758288, 141.41183296998008, 176.58580565419325, 128.03550639758288, 190.10728414710368, 128.03550639758288, 128.03550639758288, 128.03550639758288, 128.76705771219702, 263.71440151646556, 128.03550639758288, 129.156844397663, 128.03550639758288, 128.03550639758288, 128.03550639758288, 128.03550639758288, 128.03550639758288, 160.0348623917541, 128.03550639758288, 128.03550639758288, 128.03550639758288, 167.45444872862873, 128.03550639758288, 128.03550639758288, 163.2429596903794, 128.03550639758288, 128.03550639758288, 128.03550639758288, 128.03550639758288, 128.03550639758288, 128.03550639758288, 128.03550639758288, 128.03550639758288, 128.03550639758288]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",GYN,GYN,-,-,Tuesday,6
8,11,208.4839175681762,"[224.19290141868254, 217.85577220275866, 208.4839175681763, 208.48391756817614, 208.4839175681762, 208.4839175681762, 245.56710498238016, 283.2373890703876, 208.48391756817614, 251.53022970754992, 208.48391756817614, 208.4839175681762, 208.48391756817637, 208.4839175681762, 208.4839175681762, 208.4839175681762, 223.3838624832352, 208.4839175681762, 208.4839175681762, 208.4839175681762, 287.0845900933358, 208.4839175681762, 208.4839175681762, 208.4839175681762, 208.4839175681762, 208.4839175681762, 208.4839175681762, 208.4839175681762, 208.4839175681762, 414.61070368709136, 208.4839175681762, 208.4839175681762, 208.48391756817603, 215.69536533915607, 262.9825788966546, 208.4839175681762, 243.714483595099, 301.45516107201075, 208.4839175681762, 208.48391756817625, 208.4839175681762, 208.4839175681762, 208.4839175681762, 208.4839175681762, 208.4839175681762, 208.4839175681762, 208.48391756817622, 208.48391756817614, 208.4839175681762, 208.4839175681762, 402.57974968950793, 208.4839175681762, 208.4839175681762, 208.4839175681762, 208.4839175681762, 208.48391756817603, 209.83603484686284, 208.4839175681762, 208.48391756817603, 208.4839175681763, 208.4839175681762, 226.32996065085752, 403.93866441854783, 224.38218384518916, 208.4839175681762, 208.4839175681762, 208.4839175681762, 208.4839175681762, 208.4839175681762, 208.4839175681762, 208.4839175681762, 231.39195912521342, 208.4839175681763, 208.4839175681762, 208.4839175681762, 208.4839175681762, 208.4839175681762, 208.48391756817637, 266.4092372992162, 209.96739092623596, 304.5384375914775, 208.4839175681762, 208.4839175681762, 285.3350518129282, 362.5157898868465, 208.4839175681762, 270.8463444775466, 208.4839175681762, 251.51971494601958, 344.47093014854, 208.4839175681762, 208.48391756817608, 208.4839175681762, 208.4839175681762, 208.48391756817608, 208.4839175681762, 208.4839175681762, 228.8096651542558, 208.4839175681762, 208.4839175681762]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",GYN,GYN,-,-,Tuesday,7
9,17,158.8988025266824,"[158.89880252668237, 200.20829110765462, 158.89880252668237, 158.89880252668235, 158.89880252668235, 158.8988025266824, 257.0144112417112, 158.89880252668237, 158.89880252668235, 158.89880252668235, 158.8988025266824, 158.8988025266824, 158.89880252668246, 158.89880252668235, 158.8988025266824, 158.8988025266824, 158.89880252668235, 158.89880252668235, 158.89880252668237, 517.0207459446679, 158.8988025266824, 158.89880252668235, 158.89880252668237, 158.8988025266824, 158.8988025266824, 158.8988025266824, 158.89880252668235, 181.16070467801313, 158.8988025266824, 158.8988025266824, 158.8988025266824, 158.89880252668235, 158.8988025266824, 158.8988025266824, 158.8988025266824, 440.0, 164.35720577630167, 303.276727223233, 158.8988025266824, 158.8988025266824, 158.89880252668243, 158.89880252668237, 166.5742727101404, 158.8988025266824, 158.8988025266824, 158.89880252668246, 158.89880252668235, 158.8988025266824, 158.8988025266824, 158.8988025266824, 158.89880252668235, 158.8988025266824, 158.8988025266824, 158.8988025266824, 158.89880252668237, 158.89880252668235, 477.0, 158.8988025266824, 158.8988025266824, 158.89880252668235, 485.07364900845266, 158.8988025266824, 158.8988025266824, 158.8988025266824, 342.3622037233035, 158.89880252668235, 158.8988025266824, 158.8988025266824, 158.89880252668235, 158.89880252668235, 167.36173389697043, 158.8988025266824, 264.7023826907896, 193.4489709894176, 158.89880252668235, 158.8988025266824, 158.8988025266824, 158.89880252668235, 158.89880252668235, 158.89880252668235, 158.8988025266824, 158.8988025266824, 158.89880252668235, 158.89880252668237, 158.89880252668237, 158.8988025266824, 158.89880252668237, 158.8988025266824, 158.89880252668237, 158.8988025266824, 158.8988025266824, 159.0084159421059, 158.89880252668235, 158.89880252668237, 158.8988025266824, 158.89880252668235, 158.89880252668235, 160.7158930387877, 158.89880252668235, 158.8988025266824]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",GYN,GYN,-,-,Wednesday,5
