Model,SolvedOptimally,SolutionCount,ObjectiveBound,SolveTime,TimeOut,OptimalityGap,BestObjective
FirstStage,False,10,2974.4454997304592,6901.005666971207,True,0.260333687345271,4021.3342812043265
SecondStage,True,2,433.56936543957113,0.35471105575561523,False,0.0,433.56936543957113
block0,True,1,272.41988391834957,0.1761319637298584,False,0.0,272.41988391834036
block1,True,1,323.1029431357292,0.046881914138793945,False,0.0,323.1029431357308
block2,True,3,186.03343728661275,0.12044215202331543,False,0.0,186.0334372866169
block3,True,1,228.0044491323306,0.0545351505279541,False,0.0,228.00444913233298
block4,True,1,113.6881121301135,0.09144306182861328,False,0.0,113.68811213011628
block5,True,1,162.27716805325576,0.04236316680908203,False,0.0,162.27716805325923
block6,True,1,93.48449865048588,0.25756096839904785,False,0.0,93.48449865048914
block7,True,1,680.7560365929821,0.03320002555847168,False,0.0,680.7560365929689
block8,True,1,248.57774984769048,0.018672943115234375,False,0.0,248.5777498476921
block9,True,1,145.72860696364842,0.021106958389282227,False,0.0,145.7286069636524
block10,True,2,161.54250650843142,0.08821606636047363,False,0.0,161.5425065084355
block11,True,5,148.45714383984068,0.23194599151611328,False,0.0,148.45714383984406
block12,True,1,157.3573490136473,0.05991983413696289,False,0.0,157.35734901365038
block13,True,1,603.5037342329942,0.03751707077026367,False,0.0,603.5037342329834
block14,True,1,285.2851636233445,0.02771282196044922,False,0.0,285.28516362334346
block15,True,3,145.5972258596505,0.11524486541748047,False,0.0,145.597225859655
block16,True,3,196.9534192065562,0.24313998222351074,False,0.0,196.95341920655983
block17,True,1,135.12496368283337,0.04323601722717285,False,0.0,135.12496368283752
block18,True,4,203.41241606997278,0.21187591552734375,False,0.0,203.41241606997642
block19,True,3,159.87499736272412,0.16704392433166504,False,0.0,159.87499736272778
block20,True,1,159.50983701646192,0.023958921432495117,False,0.0,159.50983701646447
block21,True,1,542.6931888302738,0.04031705856323242,False,0.0,542.6931888302686
block22,True,1,291.6847959416832,0.026945829391479492,False,0.0,291.6847959416826
block23,True,3,228.45913711882167,0.15121889114379883,False,0.0,228.45913711882514
block24,True,3,186.36797600848377,0.17856097221374512,False,0.0,186.36797600848723
block25,True,1,192.07861732176752,0.05832505226135254,False,0.0,192.07861732177042
block26,True,1,454.82686878187405,0.039381980895996094,False,0.0,454.826868781868
block27,True,1,269.7172208152815,0.04080390930175781,False,0.0,269.7172208152845
block28,True,1,192.49697907526206,0.01958298683166504,False,0.0,192.49697907526544
block29,True,1,160.43036817419465,0.05435895919799805,False,0.0,160.43036817419824
block30,True,2,168.3519768182582,0.13953804969787598,False,0.0,168.3519768182611
block31,True,1,137.38958483283886,0.03819394111633301,False,0.0,137.3895848328421
blockorder0,True,2,5.450000000009041,8.902459859848022,False,0.0,5.449999999991633
blockorder1,True,5,2.049999999996679,0.19902682304382324,False,0.0,2.0500000000027097
blockorder2,True,3,-3.772981926886132e-12,0.14280295372009277,False,0.0,0.0
blockorder3,True,2,-4.618527782440651e-12,0.3102090358734131,False,0.0,8.43769498715119e-13
blockorder4,True,5,-3.161915174132446e-12,0.3124380111694336,False,0.0,8.43769498715119e-13
blockorder5,True,4,-1.545430450278218e-13,0.2092609405517578,False,0.0,2.3314683517128287e-12
blockorder6,True,2,4.476419235288631e-13,0.3238379955291748,False,0.0,-1.4210854715202004e-13
blockorder7,True,2,9.600000000002316,0.2411198616027832,False,0.0,9.600000000003185
blockorder8,True,1,4.399999999999684,0.06608819961547852,False,0.0,4.400000000002819
blockorder9,True,1,-1.4317436125566019e-12,0.03290915489196777,False,0.0,3.97015753605956e-12
blockorder10,True,4,-4.057199021190172e-12,0.2622969150543213,False,0.0,5.062616992290714e-13
blockorder11,True,3,4.0536463075113716e-12,0.29056310653686523,False,0.0,3.090860900556436e-12
blockorder12,True,5,-5.329070518200751e-13,0.3632090091705322,False,0.0,1.9539925233402755e-12
blockorder13,True,2,1.1500000000146158,0.26192307472229004,False,0.0,1.1499999999978172
blockorder14,True,4,1.1774470287662098e-11,0.12213802337646484,False,0.0,1.7974510768681284e-12
blockorder15,True,3,4.499999999998773,0.23552489280700684,False,0.0,4.499999999998183
blockorder16,True,2,3.0162539133016253e-12,0.4362940788269043,False,0.0,0.0
blockorder17,True,2,-1.13509202037676e-12,0.2818460464477539,False,0.0,3.086420008457935e-13
