Model,SolvedOptimally,SolutionCount,ObjectiveBound,SolveTime,TimeOut,OptimalityGap,BestObjective
FirstStage,False,10,8386.460683717913,6900.822174072266,True,0.2771900727685675,11602.580938311738
SecondStage,True,7,6048.003465411024,0.5360949039459229,False,9.037048014492065e-05,6048.550075785553
block0,True,1,735.9479076210982,1.1998720169067383,False,0.0,735.9479076210994
block1,True,4,579.1434458737021,0.24287700653076172,False,0.0,579.1434458737021
block2,True,1,511.7416760960291,0.07448792457580566,False,0.0,511.74167609602955
block3,True,8,602.0602615079702,0.46154189109802246,False,0.0,602.0602615079699
block4,True,3,499.48673313698237,0.26984620094299316,False,0.0,499.4867331369826
block5,True,10,585.6278721059525,0.5124561786651611,False,0.0,585.6278721059529
block6,True,2,528.2513680654943,0.30570483207702637,False,0.0,528.2513680654945
block7,True,2,600.9946799385662,0.3578009605407715,False,0.0,600.9946799385659
block8,True,3,611.4492128137081,0.08854818344116211,False,0.0,611.449212813709
block9,True,3,476.5708048842812,0.21030402183532715,False,0.0,476.57080488428187
block10,True,4,615.5110056824265,0.5141761302947998,False,0.0,615.5110056824265
block11,True,4,573.9146125264542,0.15548491477966309,False,0.0,573.9146125264538
block12,True,2,592.1497257037154,0.21577787399291992,False,0.0,592.1497257037161
block13,True,5,775.1029026351366,0.15185809135437012,False,0.0,775.1029026351371
block14,True,6,646.3811786633364,0.2156991958618164,False,0.0,646.381178663335
block15,True,6,574.2174091447232,0.5252680778503418,False,0.0,574.2174091447234
block16,True,8,567.4028269012197,0.47631382942199707,False,0.0,567.4028269012196
block17,True,8,682.2665517611235,0.3210420608520508,False,0.0,682.2665517611235
block18,True,3,612.6457420416477,0.18253588676452637,False,0.0,612.6457420416477
block19,True,1,405.69944293056506,0.1834399700164795,False,0.0,405.69944293056466
block20,True,3,359.5685519257322,0.08346796035766602,False,0.0,359.56855192573175
block21,True,7,758.2927828027387,0.9534580707550049,False,0.0,758.2927828027384
block22,True,3,525.7321917918716,0.08982396125793457,False,0.0,525.7321917918715
block23,True,6,755.8158788225323,0.24075603485107422,False,0.0,755.8158788225326
block24,True,8,767.8222945409884,0.31433701515197754,False,0.0,767.8222945409887
block25,True,7,625.4755294950028,0.2877988815307617,False,0.0,625.4755294950021
block26,True,8,611.8966080531331,0.15192103385925293,False,0.0,611.8966080531328
block27,True,9,535.4626986835187,0.42603206634521484,False,0.0,535.4626986835182
