Surgery,Block,Start,Real Start,Status,Specialty,BlockType,Arrival Day,Arrival Time,Day,Room
0,16,309.6469501280582,"[388.3283134753977, 309.6469501280582, 326.9257324559323, 309.6469501280582, 345.1098800937168, 417.82062556171826, 486.331248878116, 309.6469501280582, 349.60913559154534, 309.6469501280582, 309.6469501280582, 447.375873429879, 309.6469501280582, 309.6469501280582, 309.6469501280582, 327.02114016760856, 309.6469501280582, 399.9938146830033, 350.561209791304, 498.74434466908076, 361.6342196868236, 370.2407983956873, 309.6469501280582, 477.23321546774014, 309.6469501280582, 425.885164764814, 333.6038297929552, 743.159053482192, 365.2593735798736, 472.6540583253761, 396.5019524641258, 309.6469501280582, 370.53544275161374, 309.6469501280582, 309.80204596968076, 369.92262214893367, 309.6469501280582, 327.4793674641731, 399.4292341967505, 694.9014615184207, 309.6469501280582, 418.2864019651986, 309.6469501280582, 309.6469501280582, 309.6469501280582, 309.6469501280582, 369.4089452760448, 363.11862886498943, 309.6469501280582, 309.6469501280582, 416.8488926996013, 332.3752668043196, 309.6469501280582, 362.18277938384693, 351.57095514240075, 309.6469501280582, 382.6435271150282, 309.6469501280582, 309.6469501280582, 309.6469501280582, 309.6469501280582, 446.2902797337881, 309.6469501280582, 320.9718631282775, 312.8036357090013, 561.0743500799248, 309.6469501280582, 363.853895414523, 321.5421114808316, 550.0736893514696, 325.52381993051074, 309.6469501280582, 309.6469501280582, 309.6469501280582, 309.6469501280582, 327.776299286554, 338.21062504820645, 357.8314838537998, 309.6469501280582, 309.6469501280582, 309.6469501280582, 309.6469501280582, 309.6469501280582, 309.6469501280582, 382.3488165533155, 361.5816324169546, 491.19431281721586, 309.6469501280582, 346.4173778390641, 309.6469501280582, 329.58368723467214, 309.6469501280582, 309.6469501280582, 320.8013147685372, 432.00571874945683, 343.086515043791, 413.5335834972712, 325.0858588175055, 340.6164778553645, 382.59662419241346]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",MED,MED,-,-,Wednesday,4
3,16,0.0,"[1.1368683772161603e-13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 526.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",MED,MED,-,-,Wednesday,4
4,16,212.65073210412157,"[302.732086437676, 246.25062038642614, 286.55594064611233, 212.65073210412157, 464.01751488231923, 218.67117231990088, 267.8863172775035, 244.36445835669159, 296.45933997115435, 212.65073210412157, 223.86181767009322, 414.9868869641846, 212.65073210412157, 212.65073210412157, 228.06029336694996, 212.65073210412157, 213.83166991028645, 257.20230176629786, 212.65073210412157, 385.0, 247.17583375802297, 212.65073210412157, 239.97818788750232, 403.30156724354106, 220.8416821776904, 268.9926978730682, 212.65073210412157, 716.9298403895281, 254.70573612559127, 261.7262290687808, 212.65073210412157, 212.65073210412157, 306.5355158654169, 212.65073210412157, 212.65073210412157, 236.30390006208967, 237.90825117638482, 212.65073210412157, 369.33395608705126, 657.6248068838049, 245.2467444919493, 306.77910639464466, 220.65107850824185, 243.94822471877063, 243.41611269223066, 241.47303265395087, 298.7661490238671, 213.0937474564548, 212.65073210412157, 212.65073210412157, 212.65073210412157, 232.01447174495178, 212.65073210412157, 292.7697760034028, 297.92454437861426, 229.99528168597124, 316.8280328063674, 229.01087034331607, 212.65073210412157, 232.85048410220372, 212.65073210412157, 425.7452699919452, 212.65073210412157, 276.4786529519667, 236.51166527837765, 488.82218460456124, 212.65073210412157, 324.2031831521106, 277.20077682035026, 512.996247091668, 251.62269049010038, 212.65073210412157, 263.1010068878982, 212.65073210412157, 212.65073210412157, 296.2236787589398, 212.65073210412157, 212.65073210412157, 231.6047971287093, 248.9588838683654, 212.65073210412157, 212.65073210412157, 212.65073210412157, 212.65073210412157, 212.65073210412157, 295.37437979761444, 354.2838676137009, 212.65073210412157, 295.1542537247269, 256.91490267354783, 267.2232794083984, 212.65073210412157, 212.65073210412157, 290.06422570327726, 365.50003970724794, 292.5281415929694, 338.7001435741126, 212.65073210412157, 212.65073210412157, 244.2426017624167]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",MED,MED,-,-,Wednesday,4
5,16,396.59762672265964,"[568.0002631074442, 396.59762672265964, 396.59762672265964, 460.06847223301645, 396.59762672265964, 488.36979813113896, 527.7370906840997, 402.8028587137217, 441.170927276406, 396.59762672265964, 396.59762672265964, 484.1313735826485, 407.6332340874826, 396.59762672265964, 396.59762672265964, 442.6515541968379, 396.59762672265964, 502.079536613007, 456.64755233933334, 498.74434466908076, 416.2014124861781, 412.6815667089006, 396.59762672265964, 510.02451528293915, 396.59762672265964, 569.9785201066021, 500.3603564027378, 872.7876623872527, 452.25695106175, 527.0295684538382, 423.5462501090867, 396.59762672265964, 429.625728738227, 396.59762672265964, 396.59762672265964, 445.2162357276827, 396.59762672265964, 402.692597863892, 448.40757808822093, 776.6535609628102, 396.6390222741503, 512.2931050959863, 423.75848334225054, 396.59762672265964, 396.59762672265964, 398.8498243915688, 535.7812911714548, 459.6106806156914, 396.59762672265964, 506.2457611297727, 467.19282737704305, 484.04586912331297, 396.59762672265964, 440.8245148379487, 459.94581784096846, 396.59762672265964, 399.93385453536365, 396.59762672265964, 396.59762672265964, 503.07804450783954, 396.59762672265964, 527.3452345505366, 396.59762672265964, 404.5414582507004, 403.9570550432817, 876.1716517836852, 527.2586169517754, 432.0791461081498, 396.59762672265964, 580.6580421515386, 396.59762672265964, 396.59762672265964, 396.59762672265964, 477.2816039640936, 396.59762672265964, 442.5846709972824, 396.59762672265964, 403.3725128910013, 396.59762672265964, 396.59762672265964, 425.5367066451954, 396.59762672265964, 445.1064150387848, 396.59762672265964, 419.00409119220296, 458.88773119783883, 436.3156350402345, 396.59762672265964, 396.59762672265964, 396.59762672265964, 396.59762672265964, 396.59762672265964, 396.59762672265964, 396.59762672265964, 531.4478904279227, 434.0439256324237, 463.6017969945578, 396.59762672265964, 575.176840143121, 428.4704583688432]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",MED,MED,-,-,Wednesday,4
6,16,53.037471260832504,"[53.037471260832504, 122.38863292210817, 101.86328091245392, 88.6643756273791, 175.39771958064551, 71.78219492754685, 53.037471260832504, 53.037471260832504, 53.037471260832504, 82.22168777926669, 88.40639155464787, 105.0, 99.9579355234558, 53.037471260832504, 82.08843548328348, 73.49260469577074, 53.037471260832504, 108.41846365270426, 73.19981559583002, 92.27556966126187, 79.00327195416521, 53.42757706091475, 111.75842710586522, 53.037471260832504, 109.7380939072516, 53.03747126083249, 53.037471260832504, 572.4557754025175, 53.037471260832504, 74.93240174428415, 53.037471260832504, 53.037471260832504, 63.38523066990383, 91.45138247489187, 82.43125669512987, 53.037471260832504, 69.70208607628904, 53.037471260832504, 188.32514290383273, 568.0, 138.17582795284417, 160.3224240037988, 53.037471260832504, 60.41730344619486, 81.90497877417164, 91.24471561573739, 114.05675649309525, 53.037471260832504, 53.03747126083249, 113.78240307203606, 90.97921351939233, 53.037471260832504, 86.99479897313581, 53.037471260832504, 194.0, 53.037471260832504, 170.18571724239254, 121.79527488490541, 97.1984231085426, 53.037471260832504, 105.77257103281053, 54.976387872882896, 95.78615580426911, 158.80340933208774, 53.037471260832504, 53.037471260832504, 53.037471260832504, 196.0, 96.77117374713576, 158.36383752683216, 53.037471260832504, 89.58920472971872, 53.037471260832504, 93.5273473057757, 110.62820131016886, 105.76649603314716, 106.20071317223507, 53.037471260832504, 58.125947595170906, 53.037471260832504, 53.037471260832504, 53.037471260832504, 53.037471260832504, 60.94653936724025, 53.037471260832504, 53.037471260832504, 182.52251122803384, 53.037471260832504, 90.72829280709836, 53.037471260832504, 88.31231080000806, 85.41916020440756, 53.037471260832504, 128.0, 221.5429453661046, 65.79780026495213, 120.17073763315287, 61.24643238517039, 77.17722931594665, 53.037471260832504]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",MED,MED,-,-,Wednesday,4
8,16,139.5677473920445,"[184.56462444137446, 184.9748483414566, 213.38607907813315, 139.5677473920445, 289.9589100630113, 139.5677473920445, 201.7451699874967, 202.88381858083994, 238.8206532333577, 158.0396490177692, 139.5677473920445, 361.0, 164.28863789593606, 139.5677473920445, 158.50817192260695, 139.5677473920445, 139.5677473920445, 197.48309337882722, 139.5677473920445, 139.5677473920445, 190.45427336408187, 139.5677473920445, 144.08060656965839, 188.7622917463138, 176.6361562719382, 139.5677473920445, 139.5677473920445, 622.4445128703436, 139.5677473920445, 190.9373228584379, 139.5677473920445, 152.6374601957765, 205.9809698553199, 139.5677473920445, 139.5677473920445, 139.5677473920445, 139.5677473920445, 139.5677473920445, 260.02568641146866, 619.6736236675587, 186.66592048005108, 211.10181779677563, 139.5677473920445, 139.5677473920445, 173.2387701131113, 139.5677473920445, 141.9663758919291, 139.5677473920445, 139.5677473920445, 169.76110220000024, 139.5677473920445, 189.54119836781564, 150.23149356188193, 172.78587245278942, 230.3315557984268, 163.52073783900104, 261.702200379705, 388.3083988819947, 139.5677473920445, 215.2498801396527, 139.5677473920445, 190.2982277259551, 139.9124593937481, 217.15271853434967, 175.0, 139.5677473920445, 139.5677473920445, 262.20032276492975, 139.5677473920445, 414.01190875816843, 166.53014112964888, 163.26059005944853, 169.3879789373986, 172.7326205335116, 147.53478089384413, 250.58385714199994, 144.54918390083265, 167.19943421047134, 139.5677473920445, 177.44209688876884, 139.5677473920445, 139.5677473920445, 151.03455069247713, 139.5677473920445, 139.5677473920445, 139.5677473920445, 247.4574613487019, 139.5677473920445, 186.15095653525754, 139.5677473920445, 167.18437891657055, 139.5677473920445, 139.5677473920445, 215.57385398253416, 308.9484432088001, 139.5677473920445, 303.73717818150675, 147.61326000663152, 160.0583219541412, 175.5124995297196]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",MED,MED,-,-,Wednesday,4
9,3,50.32837094101359,"[52.34120618951842, 50.32837094101359, 122.99826098216008, 53.14651597394874, 54.22647557454396, 149.79186835614306, 104.44707675325343, 50.3283709410112, 58.01609632250097, 50.32837094101341, 142.00425918469023, 93.68157876795443, 90.74208053515554, 50.32837094101314, 76.51957786595676, 60.2773365295907, 172.8764859783132, 50.32837094100978, 95.22506213239505, 50.328370941013176, 56.70908457415313, 80.60402042184904, 50.32837094101359, 50.32837094101359, 54.78911583964247, 74.46944113391095, 50.32837094101353, 103.31433001929118, 69.53427682862697, 131.34060821460278, 50.328370941013524, 50.3283709410138, 69.48973541805145, 67.71303883555309, 58.99669249282269, 106.24472619068109, 77.49597318705051, 160.47916753946424, 50.3283709410138, 90.03573325007561, 50.328370941013134, 150.67267373344166, 51.083364997098336, 50.32837094101359, 169.74451469574564, 52.36039262231862, 50.32837094101352, 59.47961968003865, 108.31030057148136, 84.50228581538333, 103.84668274321518, 50.32837094101359, 420.0, 226.79926737649674, 141.42641254916316, 81.58905978771064, 64.62220921640109, 87.13341866633408, 50.32837094101359, 64.47415710421618, 434.4463273478228, 147.1554435004994, 50.328370941013596, 108.62664063002653, 62.259942919202345, 50.32837094101359, 50.32837094101342, 89.39175874236707, 50.32837094101353, 50.32837094101311, 50.328370941013574, 86.33684618561483, 50.32837094101353, 59.28906628708785, 50.32837094101346, 83.91247026439532, 53.771625113011865, 50.32837094101359, 309.0, 50.32837094101363, 170.90781147436186, 70.93959293007639, 116.17721033939341, 50.328370941013176, 50.328370941013176, 68.06854165235339, 50.32837094101353, 114.46203189455264, 55.81671496027993, 50.32837094101339, 71.66930788368046, 50.32837094101359, 50.3283709410116, 369.0, 59.053390461621355, 50.32837094101335, 52.44653330117246, 59.78334887477879, 91.60089741196778, 69.6298725607513]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",GYN,GYN,-,-,Monday,5
10,23,401.060106926825,"[453.1412451164671, 401.060106926825, 401.060106926825, 473.34581052151407, 464.96345341616296, 427.85410582276353, 496.5284167321033, 426.5487747525049, 401.060106926825, 881.5600034752443, 438.8879591974723, 454.6887182568126, 562.7183625726551, 401.060106926825, 433.76541718939575, 598.0050629384995, 522.8429580973417, 443.82883030052847, 408.9055999871647, 508.32268103223606, 428.28108133483244, 537.4263246574868, 449.63151069332537, 535.407037911784, 484.876890998769, 406.25926793891887, 430.2947641639741, 543.0218945312208, 528.9069383836824, 412.69989830759675, 401.060106926825, 443.48192265613136, 516.3299742746159, 401.060106926825, 401.060106926825, 401.060106926825, 640.9735936663492, 473.63992038934987, 410.47919258375714, 408.0266810250452, 482.5517939329183, 467.6676292864088, 693.0726539735979, 401.060106926825, 721.9425840715588, 401.060106926825, 431.0773970000519, 499.67881162755987, 401.060106926825, 576.9283903757306, 437.59722528402335, 629.5824544659654, 412.5875969260358, 524.8100619041859, 544.46541246981, 401.060106926825, 424.0828796877997, 419.8637792920526, 401.060106926825, 539.8864892711628, 401.060106926825, 489.15542711291954, 600.80269759053, 576.4292988667833, 401.060106926825, 401.060106926825, 401.060106926825, 401.060106926825, 401.060106926825, 829.555703099072, 401.060106926825, 401.060106926825, 548.5938302367658, 401.060106926825, 401.060106926825, 490.37483529312766, 504.8171121973489, 445.5256116544252, 495.06553761171455, 401.060106926825, 401.060106926825, 425.19593852496155, 401.060106926825, 465.24003397579656, 401.060106926825, 431.2284725286817, 897.0466551240246, 401.060106926825, 412.3934634833394, 457.7503045502996, 401.060106926825, 401.060106926825, 401.060106926825, 401.060106926825, 504.9460627023615, 435.828562381312, 440.5645113032422, 489.29405054054644, 424.57789134757263, 401.060106926825]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",GYN,GYN,-,-,Thursday,6
11,23,307.71277097550717,"[384.27728166941705, 307.71277097550717, 307.71277097550717, 412.70496086678554, 309.7374506390708, 356.7346401333065, 307.71277097550717, 307.71277097550717, 320.7168520890056, 808.4563368865602, 383.9026639790342, 419.0, 421.31338787252025, 307.71277097550717, 374.5034734300295, 571.5721397646726, 429.6915520358235, 307.71277097550717, 365.1030495734303, 422.6777092430659, 353.9083966635983, 307.71277097550717, 372.919949709706, 307.71277097550717, 307.71277097550717, 307.71277097550717, 363.5981337782038, 413.38490541722575, 459.26027883520277, 307.71277097550717, 307.71277097550717, 380.75586560779203, 357.23289371759125, 322.9577727051191, 307.71277097550717, 332.666088650782, 470.14646318082094, 307.71277097550717, 365.30425534600823, 366.7230155998131, 413.94704966435387, 307.71277097550717, 625.2485673309507, 307.71277097550717, 701.0749247683978, 307.71277097550717, 386.8521878916137, 307.71277097550717, 312.02129389435567, 312.7360842960838, 357.54546080490945, 344.78499952148604, 347.23578480252166, 307.71277097550717, 479.7084301419934, 320.3154363621211, 353.7274886362227, 355.80470923401055, 312.2320615904121, 312.3222255402023, 307.71277097550717, 471.1623057024819, 524.1580582617956, 446.0, 335.00036483221567, 307.71277097550717, 334.94790753998706, 307.71277097550717, 307.71277097550717, 793.3752386906009, 352.02374675209126, 307.71277097550717, 512.3033712244311, 307.71277097550717, 307.71277097550717, 388.07196826057884, 468.01032774421134, 324.3101999071618, 419.3054139926524, 328.31243180981096, 313.4706493979876, 389.48564277539475, 307.71277097550717, 307.71277097550717, 458.5927290323963, 395.2318301308465, 765.9745712288794, 307.71277097550717, 355.8813874239128, 307.71277097550717, 345.88090850944326, 307.71277097550717, 307.71277097550717, 307.71277097550717, 445.1656716196545, 408.5484536297685, 346.02553376094016, 441.97042075620766, 318.47484327794723, 307.71277097550717]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",GYN,GYN,-,-,Thursday,6
12,29,215.73103214682368,"[220.0581384042967, 215.73103214682368, 215.73103214682368, 238.24345635336144, 261.21469110533894, 215.73103214682368, 324.39348343623124, 256.73694286143404, 266.3387761824135, 273.5015575867255, 254.12277189725017, 308.5364960568688, 215.73103214682368, 215.73103214682368, 215.73103214682368, 327.02321978025986, 236.83204069200212, 314.1853517110401, 240.3086704201308, 240.05896946879363, 215.73103214682368, 215.73103214682368, 283.75884753282094, 251.24142900241532, 372.13656443532017, 241.6974279346428, 384.4019295406646, 215.73103214682368, 308.8209886289638, 287.422928197184, 215.73103214682368, 464.8099508391856, 215.73103214682368, 414.98248064912264, 215.73103214682368, 224.53135475449795, 290.96345844303306, 271.01298134468857, 215.73103214682368, 371.57843161552177, 395.55208062800887, 273.66733860609344, 305.9529119857097, 215.73103214682368, 215.73103214682368, 251.95857425714962, 215.73103214682368, 298.20999691890796, 215.73103214682368, 248.35327490201004, 215.73103214682368, 395.84491078623137, 215.73103214682368, 215.73103214682368, 229.48154929041692, 434.33776640985025, 308.14329628745264, 218.46594536725698, 274.72238049276825, 614.7888044261384, 215.73103214682368, 265.7882112854259, 215.73103214682368, 280.2174876485019, 247.64563726025108, 235.73018381989112, 245.0984673601982, 215.73103214682368, 223.34914526747593, 323.53681592356423, 215.73103214682368, 406.50961151142207, 227.8362523564016, 231.69106629150915, 215.73103214682368, 215.73103214682368, 215.73103214682368, 215.73103214682368, 265.4758331704863, 260.2214043486671, 314.4064131830017, 215.73103214682368, 336.1107196698507, 462.57651652816287, 259.6892520243281, 313.4255527465646, 215.73103214682368, 234.54896489830912, 215.73103214682368, 300.63267673393665, 673.5491356539571, 304.9438424929357, 239.36963386512323, 281.6165332154494, 215.73103214682368, 215.73103214682368, 332.7959660113946, 219.26676884552688, 365.40234647543707, 215.73103214682368]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",GYN,GYN,-,-,Friday,7
