Day,Block,Surgery,Start,Duration,Finish,Specialty
Monday,0,0,0,0,0,GASTRO
Monday,0,1,180,0,180,GASTRO
Monday,1,2,15,0,15,CARD
Monday,1,3,140,0,140,CARD
Monday,1,4,310,0,310,CARD
Monday,2,5,0,0,0,ORTH
Monday,2,6,180,0,180,ORTH
Monday,3,7,0,0,0,GYN
Monday,3,8,65,0,65,GYN
Monday,3,9,190,0,190,GYN
Monday,3,10,345,0,345,GYN
Monday,4,11,0,0,0,URO
Monday,5,12,105,0,105,CARD
Monday,6,13,0,0,0,URO
Monday,6,14,66,0,66,URO
Monday,6,15,157,0,157,URO
Monday,6,16,228,0,228,URO
Monday,6,17,369,0,369,URO
Tuesday,7,18,0,0,0,GASTRO
Tuesday,7,19,195,0,195,GASTRO
Tuesday,8,20,0,0,0,ORTH
Tuesday,8,21,210,0,210,ORTH
Tuesday,9,22,0,0,0,ORTH
Tuesday,9,23,180,0,180,ORTH
Tuesday,10,24,0,0,0,GYN
Tuesday,10,25,165,0,165,GYN
Tuesday,11,26,30,0,30,GYN
Tuesday,11,27,95,0,95,GYN
Tuesday,11,28,280,0,280,GYN
Wednesday,13,29,0,0,0,GASTRO
Wednesday,13,30,150,0,150,GASTRO
Wednesday,14,31,0,0,0,GASTRO
Wednesday,14,32,210,0,210,GASTRO
Wednesday,15,33,0,0,0,CARD
Wednesday,15,34,115,0,115,CARD
Wednesday,15,35,260,0,260,CARD
Wednesday,16,36,75,0,75,MED
Wednesday,16,37,180,0,180,MED
Wednesday,16,38,285,0,285,MED
Wednesday,17,39,0,0,0,GYN
Wednesday,17,40,120,0,120,GYN
Wednesday,17,41,315,0,315,GYN
Wednesday,18,42,0,0,0,GYN
Wednesday,19,43,0,0,0,URO
Wednesday,19,44,165,0,165,URO
Wednesday,20,45,0,0,0,ORTH
Wednesday,20,46,180,0,180,ORTH
Thursday,21,47,30,0,30,GASTRO
Thursday,21,48,240,0,240,GASTRO
Thursday,22,49,0,0,0,ORTH
Thursday,22,50,180,0,180,ORTH
Thursday,23,51,0,0,0,GYN
Thursday,23,52,85,0,85,GYN
Thursday,23,53,260,0,260,GYN
Thursday,25,54,15,0,15,URO
Friday,26,55,0,0,0,GASTRO
Friday,26,56,115,0,115,GASTRO
Friday,26,57,275,0,275,GASTRO
Friday,27,58,60,0,60,CARD
Friday,27,59,180,0,180,CARD
Friday,28,60,0,0,0,ORTH
Friday,28,61,210,0,210,ORTH
Friday,29,62,0,0,0,GYN
Friday,29,63,40,0,40,GYN
Friday,29,64,125,0,125,GYN
Friday,29,65,300,0,300,GYN
Friday,30,66,0,0,0,URO
Friday,30,67,90,0,90,URO
Friday,30,68,255,0,255,URO
Friday,31,69,0,0,0,CARD
