Day,Block,Surgery,Start,Duration,Finish,Specialty
Monday,0,0,0,0,0,GASTRO
Monday,0,1,180,0,180,GASTRO
Monday,1,2,0,0,0,CARD
Monday,1,3,120,0,120,CARD
Monday,1,4,240,0,240,CARD
Monday,1,5,360,0,360,CARD
Monday,2,6,0,0,0,ORTH
Monday,2,7,195,0,195,ORTH
Monday,3,8,0,0,0,GYN
Monday,3,9,90,0,90,GYN
Monday,3,10,210,0,210,GYN
Monday,3,11,360,0,360,GYN
Monday,4,12,0,0,0,URO
Monday,4,13,60,0,60,URO
Monday,4,14,285,0,285,URO
Monday,5,15,0,0,0,CARD
Monday,5,16,100,0,100,CARD
Monday,5,17,320,0,320,CARD
Monday,6,18,0,0,0,URO
Monday,6,19,51,0,51,URO
Monday,6,20,152,0,152,URO
Monday,6,21,273,0,273,URO
Monday,6,22,369,0,369,URO
Tuesday,7,23,15,0,15,GASTRO
Tuesday,7,24,165,0,165,GASTRO
Tuesday,8,25,0,0,0,ORTH
Tuesday,8,26,210,0,210,ORTH
Tuesday,9,27,0,0,0,ORTH
Tuesday,9,28,100,0,100,ORTH
Tuesday,9,29,305,0,305,ORTH
Tuesday,10,30,0,0,0,GYN
Tuesday,10,31,50,0,50,GYN
Tuesday,10,32,175,0,175,GYN
Tuesday,10,33,330,0,330,GYN
Tuesday,11,34,0,0,0,GYN
Tuesday,11,35,95,0,95,GYN
Tuesday,11,36,160,0,160,GYN
Tuesday,11,37,330,0,330,GYN
Tuesday,12,38,0,0,0,URO
Tuesday,12,39,81,0,81,URO
Tuesday,12,40,152,0,152,URO
Tuesday,12,41,243,0,243,URO
Tuesday,12,42,354,0,354,URO
Wednesday,13,43,0,0,0,GASTRO
Wednesday,13,44,225,0,225,GASTRO
Wednesday,14,45,0,0,0,GASTRO
Wednesday,14,46,100,0,100,GASTRO
Wednesday,14,47,305,0,305,GASTRO
Wednesday,15,48,0,0,0,CARD
Wednesday,15,49,130,0,130,CARD
Wednesday,15,50,260,0,260,CARD
Wednesday,16,51,0,0,0,MED
Wednesday,16,52,240,0,240,MED
Wednesday,17,53,0,0,0,GYN
Wednesday,17,54,96,0,96,GYN
Wednesday,17,55,192,0,192,GYN
Wednesday,17,56,288,0,288,GYN
Wednesday,17,57,384,0,384,GYN
Wednesday,18,58,0,0,0,GYN
Wednesday,18,59,50,0,50,GYN
Wednesday,18,60,145,0,145,GYN
Wednesday,18,61,240,0,240,GYN
Wednesday,18,62,335,0,335,GYN
Wednesday,19,63,0,0,0,URO
Wednesday,19,64,58,0,58,URO
Wednesday,19,65,136,0,136,URO
Wednesday,19,66,204,0,204,URO
Wednesday,19,67,352,0,352,URO
Wednesday,20,68,0,0,0,ORTH
Wednesday,20,69,240,0,240,ORTH
Thursday,21,70,0,0,0,GASTRO
Thursday,21,71,195,0,195,GASTRO
Thursday,22,72,0,0,0,ORTH
Thursday,22,73,135,0,135,ORTH
Thursday,23,74,0,0,0,GYN
Thursday,23,75,75,0,75,GYN
Thursday,23,76,210,0,210,GYN
Thursday,23,77,360,0,360,GYN
Thursday,24,78,0,0,0,GYN
Thursday,24,79,75,0,75,GYN
Thursday,24,80,165,0,165,GYN
Thursday,24,81,360,0,360,GYN
Thursday,25,82,0,0,0,URO
Thursday,25,83,70,0,70,URO
Thursday,25,84,230,0,230,URO
Friday,26,85,0,0,0,GASTRO
Friday,26,86,225,0,225,GASTRO
Friday,27,87,0,0,0,CARD
Friday,27,88,115,0,115,CARD
Friday,27,89,290,0,290,CARD
Friday,28,90,0,0,0,ORTH
Friday,28,91,150,0,150,ORTH
Friday,29,92,0,0,0,GYN
Friday,29,93,110,0,110,GYN
Friday,29,94,220,0,220,GYN
Friday,29,95,345,0,345,GYN
Friday,30,96,0,0,0,URO
Friday,30,97,80,0,80,URO
Friday,30,98,175,0,175,URO
Friday,30,99,330,0,330,URO
Friday,31,100,0,0,0,CARD
Friday,31,101,150,0,150,CARD
