Day,Block,Surgery,Start,Duration,Finish,Specialty
Monday,0,0,30.0,0,30.0,GASTRO
Monday,0,1,255.0,0,255.0,GASTRO
Monday,1,2,30.0,0,30.0,CARD
Monday,1,3,180.0,0,180.0,CARD
Monday,1,4,330.0,0,330.0,CARD
Monday,2,5,0.0,0,0.0,ORTH
Monday,3,6,0.0,0,0.0,GYN
Monday,3,7,160.0,0,160.0,GYN
Monday,3,8,320.0,0,320.0,GYN
Monday,4,9,0.0,0,0.0,URO
Monday,4,10,120.0,0,120.0,URO
Monday,4,11,240.0,0,240.0,URO
Monday,4,12,360.0,0,360.0,URO
Monday,5,13,0.0,0,0.0,CARD
Monday,5,14,71.0,0,71.0,CARD
Monday,5,15,172.0,0,172.0,CARD
Monday,5,16,303.0,0,303.0,CARD
Monday,6,17,0.0,0,0.0,URO
Tuesday,7,18,0.0,0,0.0,GASTRO
Tuesday,7,19,225.0,0,225.0,GASTRO
Tuesday,8,20,0.0,0,0.0,ORTH
Tuesday,8,21,146.0,0,146.0,ORTH
Tuesday,8,22,292.0,0,292.0,ORTH
Tuesday,9,23,0.0,0,0.0,ORTH
Tuesday,9,24,240.0,0,240.0,ORTH
Tuesday,11,25,0.0,0,0.0,GYN
Tuesday,11,26,160.0,0,160.0,GYN
Tuesday,11,27,320.0,0,320.0,GYN
Tuesday,12,28,0.0,0,0.0,URO
Wednesday,13,29,0.0,0,0.0,GASTRO
Wednesday,13,30,240.0,0,240.0,GASTRO
Wednesday,14,31,0.0,0,0.0,GASTRO
Wednesday,15,32,0.0,0,0.0,CARD
Wednesday,15,33,101.0,0,101.0,CARD
Wednesday,16,34,0.0,0,0.0,MED
Wednesday,16,35,80.0,0,80.0,MED
Wednesday,16,36,161.0,0,161.0,MED
Wednesday,17,37,0.0,0,0.0,GYN
Wednesday,19,38,0.0,0,0.0,URO
Wednesday,20,39,0.0,0,0.0,ORTH
Wednesday,20,40,240.0,0,240.0,ORTH
Thursday,21,41,0.0,0,0.0,GASTRO
Thursday,21,42,240.0,0,240.0,GASTRO
Thursday,22,43,0.0,0,0.0,ORTH
Thursday,23,44,0.0,0,0.0,GYN
Thursday,23,45,160.0,0,160.0,GYN
Thursday,23,46,320.0,0,320.0,GYN
Thursday,24,47,0.0,0,0.0,GYN
Thursday,24,48,105.0,0,105.0,GYN
Thursday,24,49,240.0,0,240.0,GYN
Thursday,24,50,360.0,0,360.0,GYN
Friday,26,51,0.0,0,0.0,GASTRO
Friday,26,52,240.0,0,240.0,GASTRO
Friday,27,53,0.0,0,0.0,CARD
Friday,28,54,0.0,0,0.0,ORTH
Friday,28,55,240.0,0,240.0,ORTH
Friday,29,56,0.0,0,0.0,GYN
Friday,29,57,120.0,0,120.0,GYN
Friday,29,58,240.0,0,240.0,GYN
Friday,29,59,360.0,0,360.0,GYN
Friday,30,60,0.0,0,0.0,URO
Friday,30,61,96.0,0,96.0,URO
Friday,30,62,192.0,0,192.0,URO
Friday,30,63,288.0,0,288.0,URO
Friday,30,64,384.0,0,384.0,URO
